Groupe labo	Numéro mission	Missionnaire	Date de départ	Ville de départ	Pays de départ	Ville de destination	Pays de destination	Moyens de transport	Nb de pers. dans la voiture	Aller / Retour	Motif du déplacement	Statut agent	Date de retour
1198	1489	 	06/11/2023	PLESCOP	France	Paris	France	Train,Transports en commun		NON	Colloques, congrès et séminaires		07/11/2023
1198	1489	 	06/11/2023	PLESCOP	France	Paris	France	Train,Transports en commun		NON	Colloques, congrès et séminaires		07/11/2023
1198	1489	 	06/11/2023	PLESCOP	France	Paris	France	Train,Transports en commun		NON	Colloques, congrès et séminaires		07/11/2023
1198	1486	 	15/11/2023	Paris	France	Strasbourg	France	Train,Transports en commun		NON	Colloques, congrès et séminaires		17/11/2023
1198	1486	 	15/11/2023	Paris	France	Strasbourg	France	Train,Transports en commun		NON	Colloques, congrès et séminaires		17/11/2023
1198	1486	 	15/11/2023	Paris	France	Strasbourg	France	Train,Transports en commun		NON	Colloques, congrès et séminaires		17/11/2023
1198	1493	14463	06/12/2023	Paris	France	Villejuif	France	Micromobilité (Vélo, trottinette)		OUI	Colloques, congrès et séminaires		08/12/2023
1198	1492	197049	06/12/2023	Neuilly-sur-Seine	France	Le Kremlin-Bicetre	France	Micromobilité (Vélo, trottinette)		OUI	Colloques, congrès et séminaires		06/12/2023
1198	1492	197049	07/12/2023	Le Kremlin-Bicetre	France	Le Kremlin-Bicetre	France	Micromobilité (Vélo, trottinette)		OUI	Colloques, congrès et séminaires		07/12/2023
1198	1492	197049	08/12/2023	Le Kremlin-Bicetre	France	Le Kremlin-Bicetre	France	Micromobilité (Vélo, trottinette)		OUI	Colloques, congrès et séminaires		08/12/2023
