index,disait,sais,dit,ai,vois,avait,connu,vue,crois,vu,entends,faisait,fit,savait,aimait,a,reprenait,croyait,contait,répondit,avais,étais,connais,voir,accordait,regardait,criait,renversait,interrogeait,voudrais,savais,comprends,veux,allait,distinguait,écoutait,allais,parlait,laissait,entendû,tenait,trouvait,rit,chuchotait,retenait,recommandé,fronçait,cherchait,semblait,secouait,ignorait,soupirait,escomptait,ajouta,eût,trouva,fouillerais,cherchais,trouvais,tressaillais,rougissais,prenais,arrêtais,laissée,revue,souviens,tiens,erre,contemplait,ruina,chantait,fréquente,laissais,rêvait,plaisais,tue,assit,été,arrive,allé,entre,vais,monte,passe,avoue,vis,redois,transportait,fais,entendu,pourrais,assistais,traitait,interrompt,rejointe,gêné,petite,seule,malade,née,regarda,eu,examina,pris,reconnu,avez,vit,eus,prit,murmura,aperçut,mis,demanda,dis,eut,peut,reprit,répéta,reste,souleva,mit,poussa,pu,pense,passa,devait,saisit,croyais,attend,sortit,suis,voulu,tirai,perdu,frappa,fait,arrêter,ouvrit,put,continua,rencontré,pouvais,sauté,est,appelait,sentait,arrêta,dirigea,écriai,savez,prie,écria,ose,écoute,leva,réfléchit,arriva,voyez,cachait,observa,prié,installa,lu,monta,occupait,retourna,descendit,trouvé,trouve,disparu,renseigné,présenta,comprit,surveillait,entendit,laissé,passait,avions,eûmes,fûmes,vîmes,fîmes,étions,pouvions,mîmes,pûmes,retracé,ignorais,contredis,blesse,vint,remis,pensions,prîmes,revins,dépêchai,réussi,rappelle,aurais,savons,forçâmes,entrâmes,sortîmes,voilà,atteignîmes,esquissé,enterrerons,retrouvé,représente,repentons,faits,plaindras,envieras,trouveras,interroger,ignore,douté,demandais,préservé,serions,touches,plaignais,éprouves,flattez,croyez,réussirez,représenté,viens,relevant,faites,espérait,dessinait,guérissait,orna,faite,prétendait,coupa,regardai,repris,sentis,portait,conformâmes,reconnûmes,tourmentions,procurâmes,donnâmes,méfiâmes,pilions,crûmes,aperçûmes,tenions,suivîmes,montâmes,faisions,venait,pouvait,voulait,quitté,voulut,dû,sentit,parvint,entendait,avaient,songeait,pourrait,décidé,hâta,laissa,était,voyait,suivait,reparu,répliqua,répétait,appris,abandonna,releva,prétends,arrêtèrent,irait,ferait,aperçu,revenu,remit,tombe,voulez,répondu,firent,montrée,irai,obligé,frappé,paraissait,relève,jeta,quitta,retient,cherche,demandait,hésita,parviendrait,arracherait,parvenait,avança,franchit,essaya,rencontrait,compta,décida,aime,pensa,pensait,puis,crut,aimé,remarqua,dois,alla,osa,attendait,oublié,homme,sens,entra,étonné,regarder,parut,approcha,parlé,prenait,parle,donné,éloigna,donne,méprise,appeler,heureux,revint,connaissait,serra,parla,admirait,va,suivit,aimer,voyant,gronda,rugit,prononça,bégaya,grinça,demeura,tomba,cria,pencha,tourna,râla,voici,jure,marcha,balbutia,tué,promis,tuer,hurla,hais,sourit,sauvé,allez,fils,serai,veut,morte,appelé,vas,embrassa,rassit,restait,imaginait,endormit,perdit,retournai,demandai,aperçus,resté,rentra,appela,glissa,tenais,embrasser,gris,adorait,apercevait,attendit,replongea,enjamba,jetait,posa,appelai,trouvai,prierai,lève,pourrions,revoie,emploie,convaincu,partis,recoiffa,lança
1930_Colette_Sido,0.042483660130718956,0.03594771241830065,0.032679738562091505,0.026143790849673203,0.02287581699346405,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.016339869281045753,0.016339869281045753,0.016339869281045753,0.016339869281045753,0.016339869281045753,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.0032679738562091504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907_Leblanc-Maurice_Arsene-Lupin-gentleman-cambrioleur,,0.009009009009009009,0.05405405405405406,0.02702702702702703,0.009009009009009009,0.02702702702702703,0.010810810810810811,,0.007207207207207207,0.02702702702702703,,,0.014414414414414415,,,0.009009009009009009,,,,0.010810810810810811,0.012612612612612612,0.009009009009009009,,,,0.007207207207207207,,,,,,,,0.009009009009009009,,0.007207207207207207,,,,,,,,,,,,0.010810810810810811,0.007207207207207207,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010810810810810811,0.007207207207207207,,,,0.014414414414414415,,,0.012612612612612612,0.010810810810810811,,,,,,,,,,,,,,,0.025225225225225224,0.016216216216216217,0.014414414414414415,0.014414414414414415,0.014414414414414415,0.014414414414414415,0.014414414414414415,0.014414414414414415,0.012612612612612612,0.012612612612612612,0.012612612612612612,0.012612612612612612,0.012612612612612612,0.012612612612612612,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.007207207207207207,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841_Sand-George_Un-hiver-a-Majorque,,0.019230769230769232,0.02403846153846154,0.014423076923076924,0.009615384615384616,0.004807692307692308,,,0.02403846153846154,0.019230769230769232,0.009615384615384616,,,,,,0.004807692307692308,,,,0.004807692307692308,,,,,,,,,,,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014423076923076924,0.03365384615384615,,,,,0.009615384615384616,,,,,,,,,,,0.009615384615384616,,,,,,0.009615384615384616,,,,0.02403846153846154,,,0.004807692307692308,,,,,,,,0.004807692307692308,,,,,0.009615384615384616,,,,0.009615384615384616,,0.004807692307692308,,0.028846153846153848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04326923076923077,0.028846153846153848,0.028846153846153848,0.02403846153846154,0.02403846153846154,0.02403846153846154,0.019230769230769232,0.014423076923076924,0.014423076923076924,0.014423076923076924,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.004807692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892_Verne-Jules_Le-Chateau-des-Carpathes,,0.009819967266775777,0.031096563011456628,,,0.03436988543371522,,0.008183306055646482,,0.011456628477905073,,,0.01800327332242226,0.022913256955810146,,,,0.004909983633387889,,0.04582651391162029,,,,0.008183306055646482,,0.004909983633387889,,,,,,,,0.02618657937806874,,,,0.004909983633387889,,,,0.014729950900163666,,,,,,0.009819967266775777,,,,,,,,,,,,,,,,,,,,,,,0.006546644844517185,,,,,,,,,,,,,,,,,,,0.008183306055646482,,,,,,,,,,,0.014729950900163666,0.01309328968903437,,,,0.006546644844517185,0.009819967266775777,,0.011456628477905073,,0.006546644844517185,0.006546644844517185,0.016366612111292964,,,,0.02127659574468085,,,,0.004909983633387889,,0.03436988543371522,0.009819967266775777,,0.008183306055646482,,,,,,0.011456628477905073,,,,,,,0.01309328968903437,,,,,0.008183306055646482,0.006546644844517185,0.014729950900163666,0.011456628477905073,,,,,0.019639934533551555,,0.004909983633387889,,,0.008183306055646482,,,,,,,,0.004909983633387889,,,,,,,,0.006546644844517185,,,,,,,,,,,,,,,,,,0.01309328968903437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008183306055646482,,0.006546644844517185,,,,,,,,,,,,,,0.031096563011456628,0.016366612111292964,0.014729950900163666,0.01309328968903437,0.01309328968903437,0.009819967266775777,0.009819967266775777,0.009819967266775777,0.009819967266775777,0.009819967266775777,0.009819967266775777,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.008183306055646482,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.006546644844517185,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,0.004909983633387889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830_Stendhal_Le-Rouge-et-le-noir,0.022838499184339316,0.007830342577487765,0.05742251223491028,0.025448613376835235,0.009461663947797716,0.054812398042414355,,,0.005546492659053833,0.010114192495921697,,0.010766721044045677,0.010766721044045677,0.010114192495921697,0.012724306688417618,0.013050570962479609,,0.010114192495921697,,0.009135399673735726,,,0.004241435562805873,0.007504078303425775,,0.0166394779771615,,,,,,,0.010114192495921697,0.011092985318107667,,,,0.009135399673735726,,,,0.021207177814029365,,,,,,,,,,,,,,0.03230016313213703,,,,,,,,,,,,,,,,,,,,,,0.004567699836867863,,,,0.011745513866231648,,,,,,,0.004241435562805873,,,,,,,,,,,,0.01631321370309951,0.007830342577487765,,0.004241435562805873,,,0.03230016313213703,,0.010766721044045677,,0.009787928221859706,,,,0.029690048939641108,,0.006851549755301794,,,,0.008156606851549755,,0.006851549755301794,,0.005546492659053833,0.004893964110929853,,,,0.0052202283849918435,0.004567699836867863,0.007830342577487765,,,,0.011745513866231648,,,0.013703099510603589,,,,,,,0.009787928221859706,,,,,,0.008156606851549755,,,,,,,,,,,,0.004241435562805873,,,,0.007830342577487765,,,,,0.0052202283849918435,,0.012071778140293638,,0.004241435562805873,,,,,,,,,,,,,,0.004567699836867863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012724306688417618,0.01827079934747145,0.008482871125611746,,0.007177814029363785,,0.011092985318107667,,,,0.006851549755301794,,,,0.004567699836867863,0.005872756933115824,0.025122349102773247,,,,,,,,,,,,,,,,,,,,,0.004241435562805873,,,,0.004241435562805873,0.006199021207177814,,,,,,,,,,,,,,0.01566068515497553,0.01468189233278956,0.013376835236541599,0.013050570962479609,0.010114192495921697,0.010114192495921697,0.009461663947797716,0.009461663947797716,0.008482871125611746,0.006851549755301794,0.006851549755301794,0.006199021207177814,0.005872756933115824,0.0052202283849918435,0.0052202283849918435,0.0052202283849918435,0.0052202283849918435,0.004893964110929853,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004567699836867863,0.004241435562805873,0.004241435562805873,0.004241435562805873,0.004241435562805873,0.004241435562805873,0.004241435562805873,0.004241435562805873,0.004241435562805873,0.004241435562805873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909_Zevaco-Michel_Nostradamus,0.011358473421172195,0.015447523852794184,0.093139482053612,0.016810540663334848,0.007723761926397092,0.011358473421172195,,,0.006360745115856429,0.02044525215810995,,,0.028169014084507043,0.014993184915947297,,,,,,0.014084507042253521,,,,,,0.005452067242162653,,,,,,,0.027260336210813266,0.01226715129486597,,0.004543389368468878,,,,,0.004543389368468878,,,,,,,,,,,,,,,0.007269422989550204,,,,,,,,,,,,,,,,,,,,0.005906406179009541,,,,,,0.014084507042253521,,,,,,,,0.007723761926397092,,,,,,,,,,,0.007723761926397092,0.007269422989550204,,,,0.004997728305315766,0.05406633348477965,,0.01226715129486597,0.021808268968650613,,0.004997728305315766,0.0068150840527033164,0.004997728305315766,0.015447523852794184,,0.014993184915947297,,,,0.011812812358019082,0.00817810086324398,0.005452067242162653,,,,0.013630168105406633,,,0.005906406179009541,0.004997728305315766,,,,,0.013630168105406633,,0.004997728305315766,,0.007723761926397092,,,,0.009995456610631531,,0.004997728305315766,0.008632439800090867,,,,,,,,0.009541117673784643,,,,,,,,,,,,0.004997728305315766,0.005906406179009541,,,,,,,0.008632439800090867,0.004997728305315766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005452067242162653,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009086778736937756,0.004997728305315766,0.007269422989550204,,0.004997728305315766,,0.010904134484325307,,0.004543389368468878,,0.007723761926397092,,,,0.005452067242162653,0.005452067242162653,,,,,,,,0.005452067242162653,,,,,,,,,0.004543389368468878,,,,,,,,,0.014084507042253521,,,,,,,,,0.005452067242162653,,,,,,0.02044525215810995,,,0.005452067242162653,,,,0.005452067242162653,0.0068150840527033164,,0.005452067242162653,,,,0.007269422989550204,,,0.005906406179009541,0.004543389368468878,,,,,,0.004997728305315766,,,,,,,,,0.004997728305315766,,,,0.01590186278964107,0.012721490231712857,0.011358473421172195,0.009086778736937756,0.008632439800090867,0.008632439800090867,0.008632439800090867,0.008632439800090867,0.00817810086324398,0.00817810086324398,0.007723761926397092,0.007723761926397092,0.007723761926397092,0.0068150840527033164,0.0068150840527033164,0.0068150840527033164,0.0068150840527033164,0.0068150840527033164,0.006360745115856429,0.006360745115856429,0.006360745115856429,0.006360745115856429,0.005906406179009541,0.005906406179009541,0.005452067242162653,0.005452067242162653,0.004997728305315766,0.004543389368468878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883_Guy-de-Maupassant_Contes-de-la-Becasse,0.0182370820668693,0.00911854103343465,0.0182370820668693,0.015197568389057751,,0.015197568389057751,,,0.00911854103343465,,,,0.0243161094224924,,0.00911854103343465,,,,,0.015197568389057751,0.02127659574468085,,,,,0.00911854103343465,,,,0.00911854103343465,,,0.00911854103343465,0.015197568389057751,,0.00911854103343465,,0.00911854103343465,,,,0.015197568389057751,,,,,,,0.00911854103343465,,,,,0.0182370820668693,,,,,,,,,,,,,,,,,,,,,,,0.0121580547112462,,,,,0.0060790273556231,,,,0.00911854103343465,,,,,,,,,,,,,,,0.0060790273556231,,,0.015197568389057751,,0.0060790273556231,,0.0060790273556231,0.0121580547112462,0.015197568389057751,0.0182370820668693,0.0121580547112462,,,0.0060790273556231,,0.0182370820668693,,,,0.015197568389057751,,,,,,0.00911854103343465,,,0.0121580547112462,0.0060790273556231,,,,,0.00911854103343465,,,,,,,,,0.015197568389057751,0.0121580547112462,0.0121580547112462,,,,,,,,0.00911854103343465,,,,,,,,,,,,0.00911854103343465,,,,,,,,0.0060790273556231,0.00911854103343465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0060790273556231,,,,,,,,,,0.00911854103343465,,,0.0060790273556231,,,,,,,,,,,,,,,0.0060790273556231,,,,,,,0.0060790273556231,,0.0060790273556231,,,,,,0.0121580547112462,,,,,,,,,,,,,,0.0060790273556231,,0.0121580547112462,,,,,,,,,,,,,,,,,,0.0060790273556231,,,0.00911854103343465,,,0.0121580547112462,0.0060790273556231,0.0060790273556231,,,,,,0.015197568389057751,,,,,,,,,,,,,,,,,,,,,,,,,,0.00911854103343465,,,,,0.0121580547112462,,,0.0060790273556231,0.0121580547112462,,,0.00911854103343465,,,,,,0.00911854103343465,,,,,,,,,,,,,0.0243161094224924,0.015197568389057751,0.0121580547112462,0.0121580547112462,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231,0.0060790273556231
